DISTRICT,CNTYNAME,COUNTY,DACKDTL,DFLCHART,DISTNAME,D_RATING,REGION
'240904,WEBB,'240,PEWMS,N,WEBB CISD,A,'01
'045905,COLORADO,'045,TR,N,WEIMAR ISD,A,'03
'044902,COLLINGSWORTH,'044,TN,N,WELLINGTON ISD,A,'16
'223904,TERRY,'223,ARWS,N,WELLMAN-UNION CISD,R,'17
'037909,CHEROKEE,'037,RS,N,WELLS ISD,A,'07
'108913,HIDALGO,'108,APRW,N,WESLACO ISD,A,'01
'100908,HARDIN,'100,,N,WEST HARDIN COUNTY CISD,A,'05
'101803,HARRIS,'101,REWS,Y,WEST HOUSTON CHARTER SCHOOL,A,'04
'161916,MCLENNAN,'161,ATEWS,N,WEST ISD,R,'12
'181906,ORANGE,'181,R,N,WEST ORANGE-COVE CISD,A,'05
'178915,NUECES,'178,R,N,WEST OSO ISD,A,'02
'201914,RUSK,'201,AW,N,WEST RUSK ISD,A,'07
'202905,SABINE,'202,DR,N,WEST SABINE ISD,A,'07
'168903,MITCHELL,'168,ATREWS,N,WESTBROOK ISD,A,'14
'062905,DEWITT,'062,AEWMS,N,WESTHOFF ISD,R,'03
'220810,TARRANT,'220,AEWMN,Y,WESTLAKE ACADEMY CHARTER SCHOOL,R,'11
'073904,FALLS,'073,AEWMNS,N,WESTPHALIA ISD,R,'12
'001908,ANDERSON,'001,TW,N,WESTWOOD ISD,A,'07
'241904,WHARTON,'241,,N,WHARTON ISD,A,'03
'242903,WHEELER,'242,AREWS,N,WHEELER ISD,A,'16
'033904,CARSON,'033,DTRS,N,WHITE DEER ISD,A,'16
'092908,GREGG,'092,TREWMS,N,WHITE OAK ISD,R,'07
'220920,TARRANT,'220,RW,N,WHITE SETTLEMENT ISD,A,'11
'040902,COCHRAN,'040,APREW,N,WHITEFACE CISD,R,'17
'212906,SMITH,'212,TRW,N,WHITEHOUSE ISD,A,'07
'091909,GRAYSON,'091,TRW,N,WHITESBORO ISD,A,'10
'091910,GRAYSON,'091,ATREWMS,N,WHITEWRIGHT ISD,R,'10
'110908,HOCKLEY,'110,ADRWNS,N,WHITHARRAL ISD,R,'17
'109911,HILL,'109,,N,WHITNEY ISD,A,'12
'243905,WICHITA,'243,,N,WICHITA FALLS ISD,A,'09
'180904,OLDHAM,'180,AEMN,N,WILDORADO ISD,A,'16
'170904,MONTGOMERY,'170,,N,WILLIS ISD,A,'06
'234907,VAN ZANDT,'234,,N,WILLS POINT ISD,A,'10
'057920,DALLAS,'057,,N,WILMER-HUTCHINS ISD,L,'10
'153907,LYNN,'153,R,N,WILSON ISD,A,'17
'105905,HAYS,'105,ATRW,N,WIMBERLEY ISD,A,'13
'005904,ARCHER,'005,ATRWS,N,WINDTHORST ISD,A,'09
'225905,TITUS,'225,AES,N,WINFIELD ISD,A,'08
'057828,DALLAS,'057,,Y,WINFREE ACADEMY,1,'10
'248902,WINKLER,'248,R,N,WINK-LOVING ISD,A,'18
'250907,WOOD,'250,TRS,N,WINNSBORO ISD,A,'07
'212910,SMITH,'212,,N,WINONA ISD,A,'07
'200904,RUNNELS,'200,R,N,WINTERS ISD,A,'15
'174906,NACOGDOCHES,'174,TREWS,N,WODEN ISD,A,'07
'116909,HUNT,'116,ATRWS,N,WOLFE CITY ISD,A,'10
'196902,REFUGIO,'196,T,N,WOODSBORO ISD,A,'03
'224902,THROCKMORTON,'224,ATREWMS,N,WOODSON ISD,R,'09
'229903,TYLER,'229,W,N,WOODVILLE ISD,A,'05
'081905,FREESTONE,'081,AR,N,WORTHAM ISD,A,'12
'043914,COLLIN,'043,AES,N,WYLIE ISD,A,'10
'221912,TAYLOR,'221,DTREWMNS,N,WYLIE ISD,R,'14
'250905,WOOD,'250,TR,N,YANTIS ISD,A,'07
'101845,HARRIS,'101,ATREWMS,Y,YES COLLEGE PREPARATORY SCHOOL,R,'04
'062903,DEWITT,'062,,N,YOAKUM ISD,A,'03
'062904,DEWITT,'062,W,N,YORKTOWN ISD,A,'03
'071905,EL PASO,'071,RW,N,YSLETA ISD,A,'19
'253901,ZAPATA,'253,R,N,ZAPATA COUNTY ISD,A,'01
'003906,ANGELINA,'003,TRWS,N,ZAVALLA ISD,A,'07
'025906,BROWN,'025,ARS,N,ZEPHYR ISD,R,'15
'101850,HARRIS,'101,,Y,ZOE LEARNING ACADEMY,L,'04
