DISTRICT,DISTNAME,REGION,DFLCHART,D_RATING,DSUPRATE,DFLYRE,COUNTY,CNTYNAME
'230906,NEW DIANA ISD,'07,N,A,NQ,N,'230,UPSHUR
'037908,NEW SUMMERFIELD ISD,'07,N,A,NQ,N,'037,CHEROKEE
'230903,ORE CITY ISD,'07,N,R,NQ,N,'230,UPSHUR
'201908,OVERTON ISD,'07,N,A,NQ,N,'201,RUSK
'001907,PALESTINE ISD,'07,N,A,NQ,N,'001,ANDERSON
'092904,PINE TREE ISD,'07,N,A,NQ,N,'092,GREGG
'250904,QUITMAN ISD,'07,N,A,NQ,N,'250,WOOD
'190903,RAINS ISD,'07,N,R,NQ,N,'190,RAINS
'037907,RUSK ISD,'07,N,A,NQ,N,'037,CHEROKEE
'092906,SABINE ISD,'07,N,R,NQ,N,'092,GREGG
'203901,SAN AUGUSTINE ISD,'07,N,A,NQ,N,'203,SAN AUGUSTINE
'210903,SHELBYVILLE ISD,'07,N,A,NQ,N,'210,SHELBY
'001909,SLOCUM ISD,'07,N,R,NQ,N,'001,ANDERSON
'092907,SPRING HILL ISD,'07,N,R,NQ,N,'092,GREGG
'201910,TATUM ISD,'07,N,A,NQ,N,'201,RUSK
'210904,TENAHA ISD,'07,N,A,NQ,N,'210,SHELBY
'210905,TIMPSON ISD,'07,N,A,NQ,N,'210,SHELBY
'107907,TRINIDAD ISD,'07,N,A,NQ,N,'107,HENDERSON
'212904,TROUP ISD,'07,N,A,NQ,N,'212,SMITH
'212905,TYLER ISD,'07,N,A,NQ,N,'212,SMITH
'230908,UNION GROVE ISD,'07,N,R,NQ,N,'230,UPSHUR
'230904,UNION HILL ISD,'07,N,A,NQ,N,'230,UPSHUR
'234906,VAN ISD,'07,N,R,NQ,N,'234,VAN ZANDT
'102903,WASKOM ISD,'07,N,A,NQ,N,'102,HARRISON
'037909,WELLS ISD,'07,N,R,NQ,N,'037,CHEROKEE
