CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CFLYRE,CIADDACK,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'101903105,NA,DOUGLAS SMITH EL,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,,,'04
'101903042,NA,E A OLLE MIDDLE,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'07 - 08,M,,,'04
'101903002,NQ,ELSIK H S,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'08 - 12,S,,,'04
'101903113,NA,FLEM REES EL,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'KG - 05,E,,,'04
'101903001,NQ,HASTINGS H S,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'08 - 12,S,,,'04
'101903115,NA,HEARNE EL,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'EE - 05,E,,,'04
'101903111,NA,HEFLIN EL,N,N,NQ,HARRIS,'101,R,ALIEF ISD,'PK - 05,E,,,'04
'101903143,NA,HELEN DE LOS SANTOS MATA INTERMEDI,N,N,RM,HARRIS,'101,A,ALIEF ISD,'05 - 06,M,,,'04
'101903120,NA,HICKS EL,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'EE - 04,E,,,'04
'101903044,NA,JAMES HOLUB MIDDLE,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'07 - 08,M,,,'04
'101903006,R,KERR H S,N,N,NQ,HARRIS,'101,E,ALIEF ISD,'09 - 12,S,,,'04
'101903141,NA,KLENTZMAN INT,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'05 - 06,M,,,'04
'101903109,NA,LIESTMAN EL,N,N,NQ,HARRIS,'101,R,ALIEF ISD,'PK - 04,E,,,'04
'101903122,NA,MARGARET COLLINS ELEMENTARY,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'PK - 05,E,,,'04
'101903107,NA,MICHAEL KENNEDY EL,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'EE - 04,E,,,'04
'101903116,NA,MILDRED V LANDIS EL,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,,,'04
'101903046,NA,O'DONNELL MIDDLE,N,N,NQ,HARRIS,'101,R,ALIEF ISD,'06 - 08,M,,,'04
'101903119,NA,OUTLEY EL,N,N,R,HARRIS,'101,R,ALIEF ISD,'EE - 05,E,,,'04
'101903140,NA,OWENS INT,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'05 - 06,M,,,'04
'101903110,NA,PETROSKY EL,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'PK - 05,E,,,'04
'101903117,NA,SNEED EL,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'PK - 05,E,,,'04
'101903104,NA,V G CHAMBERS EL,N,N,R,HARRIS,'101,A,ALIEF ISD,'EE - 04,E,,,'04
'101903106,NA,VIOLA MAHANAY EL,N,N,R,HARRIS,'101,A,ALIEF ISD,'EE - 05,E,,,'04
'101903101,NA,YOUENS EL,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'EE - 05,E,,,'04
'101903142,NA,YOUNGBLOOD INT,N,N,NQ,HARRIS,'101,A,ALIEF ISD,'05 - 06,M,,,'04
'101815101,NA,ALIEF MONTESSORI COMMUNITY SCHOOL,Y,N,NQ,HARRIS,'101,E,ALIEF MONTESSORI COMMUNITY SCHOOL,'PK - 06,E,,,'04
'043901001,NQ,ALLEN H S,N,N,NQ,COLLIN,'043,R,ALLEN ISD,'09 - 12,S,,,'10
'043901102,NA,ALTON BOYD EL,N,N,NQ,COLLIN,'043,R,ALLEN ISD,'KG - 06,E,,,'10
'043901105,NA,ALVIS C STORY EL,N,N,R,COLLIN,'043,E,ALLEN ISD,'EE - 06,E,,,'10
'043901003,NO,COLLIN CO J J A E P,N,N,,COLLIN,'043,X,ALLEN ISD,'09 - 11,S,,,'10
'043901101,NA,D L ROUNTREE EL,N,N,R,COLLIN,'043,R,ALLEN ISD,'EE - 06,E,,,'10
'043901107,NA,FLOSSIE FLOYD GREEN EL,N,N,NQ,COLLIN,'043,E,ALLEN ISD,'KG - 06,E,,,'10
'043901108,NA,FRANCES E NORTON EL,N,N,M,COLLIN,'043,E,ALLEN ISD,'EE - 06,E,,,'10
'043901104,NA,GENE M REED EL,N,N,R,COLLIN,'043,E,ALLEN ISD,'KG - 06,E,,,'10
'043901109,NA,GEORGE J ANDERSON EL,N,N,NQ,COLLIN,'043,E,ALLEN ISD,'KG - 06,E,,,'10
'043901002,NA,LOWERY FRESHMAN CENTER,N,N,NQ,COLLIN,'043,R,ALLEN ISD,'09 - 09,S,'043901001,ALLEN H S,'10
'043901106,NA,MAX O VAUGHAN EL,N,N,NQ,COLLIN,'043,E,ALLEN ISD,'KG - 06,E,,,'10
'043901042,NA,W E PETE FORD MIDDLE,N,N,NQ,COLLIN,'043,E,ALLEN ISD,'07 - 08,M,,,'10
'043901043,NA,WALTER & LOIS CURTIS MIDDLE,N,N,NQ,COLLIN,'043,E,ALLEN ISD,'07 - 08,M,,,'10
'242904001,NQ,ALLISON SCHOOL,N,N,NQ,WHEELER,'242,E,ALLISON ISD,'PK - 12,B,,,'16
'101817001,NH,ALPHONSO CRUTCH'S-LIFE SUPPORT CEN,Y,N,,HARRIS,'101,H,ALPHONSO CRUTCH'S-LIFE SUPPORT CEN,'06 - 12,B,,,'04
'022901101,NA,ALPINE EL,N,N,R,BREWSTER,'022,R,ALPINE ISD,'KG - 04,E,,,'18
'022901001,NQ,ALPINE H S,N,N,NQ,BREWSTER,'022,A,ALPINE ISD,'09 - 12,S,,,'18
'022901041,NA,ALPINE MIDDLE,N,N,NQ,BREWSTER,'022,A,ALPINE ISD,'05 - 08,M,,,'18
'022901102,NR,PETE GALLEGO SR CENTER,N,N,,BREWSTER,'022,N,ALPINE ISD,'EE - PK,E,,,'18
'037901101,NA,ALTO EL,N,N,R,CHEROKEE,'037,A,ALTO ISD,'PK - 04,E,,,'07
'037901001,NQ,ALTO H S,N,N,R,CHEROKEE,'037,R,ALTO ISD,'09 - 12,S,,,'07
'037901041,NA,ALTO MIDDLE,N,N,NQ,CHEROKEE,'037,A,ALTO ISD,'05 - 08,M,,,'07
'126901102,NA,ALVARADO EL-NORTH,N,N,R,JOHNSON,'126,A,ALVARADO ISD,'EE - 04,E,,,'11
'126901101,NA,ALVARADO EL-SOUTH,N,N,R,JOHNSON,'126,E,ALVARADO ISD,'KG - 04,E,,,'11
'126901001,NQ,ALVARADO H S,N,N,R,JOHNSON,'126,R,ALVARADO ISD,'09 - 12,S,,,'11
