CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,REGION,PAIRCAMP,pairname
'057832001,,ALPHA CHARTER SCHOOL,Y,DALLAS,'057,1,ALPHA CHARTER SCHOOL,'KG - 12,B,'10,,
'101817001,,ALPHONSO CRUTCH'S-LIFE SUPPORT CE,Y,HARRIS,'101,2,ALPHONSO CRUTCH'S-LIFE SUPPORT CEN,'06 - 12,B,'04,,
'022901101,E,ALPINE EL,N,BREWSTER,'022,R,ALPINE ISD,'EE - 04,E,'18,,
'022901001,,ALPINE H S,N,BREWSTER,'022,A,ALPINE ISD,'09 - 12,S,'18,,
'022901041,AEWNSX,ALPINE MIDDLE,N,BREWSTER,'022,R,ALPINE ISD,'05 - 08,M,'18,,
'037901101,X,ALTO EL,N,CHEROKEE,'037,A,ALTO ISD,'PK - 04,E,'07,,
'037901001,,ALTO H S,N,CHEROKEE,'037,L,ALTO ISD,'09 - 12,S,'07,,
'037901041,ASZ,ALTO MIDDLE,N,CHEROKEE,'037,A,ALTO ISD,'05 - 08,M,'07,,
'126901102,EMX,ALVARADO EL-NORTH,N,JOHNSON,'126,R,ALVARADO ISD,'EE - 04,E,'11,,
'126901101,EWX,ALVARADO EL-SOUTH,N,JOHNSON,'126,R,ALVARADO ISD,'PK - 04,E,'11,,
'126901001,,ALVARADO H S,N,JOHNSON,'126,A,ALVARADO ISD,'09 - 12,S,'11,,
'126901104,,ALVARADO INT,N,JOHNSON,'126,A,ALVARADO ISD,'05 - 07,M,'11,,
'126901041,WSX,ALVARADO J H,N,JOHNSON,'126,A,ALVARADO ISD,'07 - 08,M,'11,,
'126901003,,JUVENILE JUSTICE ALTERNATIVE,N,JOHNSON,'126,X,ALVARADO ISD,'10 - 11,S,'11,,
'126901103,X,LILLIAN EL,N,JOHNSON,'126,A,ALVARADO ISD,'PK - 04,E,'11,,
'020901101,MN,ALVIN ELEMENTARY,N,BRAZORIA,'020,R,ALVIN ISD,'04 - 06,E,'04,,
'020901001,,ALVIN HIGH SCHOOL,N,BRAZORIA,'020,A,ALVIN ISD,'09 - 12,S,'04,,
'020901041,W,ALVIN J H,N,BRAZORIA,'020,R,ALVIN ISD,'07 - 08,M,'04,,
'020901102,EM,ALVIN PRI,N,BRAZORIA,'020,E,ALVIN ISD,'EE - 03,E,'04,,
'020901200,,ALVIN REACH SCHOOL,N,BRAZORIA,'020,X,ALVIN ISD,'01 - 12,B,'04,,
'020901005,,ASSETS,N,BRAZORIA,'020,1,ALVIN ISD,'07 - 12,S,'04,,
