DISTRICT,YEAR,DA0GM*N,DA0GM*R
'101914,1998,,
'101915,1998,,
'101916,1998,,
'101917,1998,,
'101919,1998,,
'101920,1998,,
'101921,1998,,
'101924,1998,,
'101925,1998,,
'102901,1998,,
'102902,1998,,
'102903,1998,,
'102904,1998,,
'102905,1998,,
'102906,1998,,
'103901,1998,,
'103902,1998,,
'104901,1998,,
'104902,1998,,
'104903,1998,,
'104907,1998,,
'105902,1998,,
'105904,1998,,
'105905,1998,,
'105906,1998,,
'106901,1998,,
'107901,1998,,
'107902,1998,,
'107904,1998,,
'107905,1998,,
'107906,1998,,
'107907,1998,,
'107908,1998,,
'107910,1998,,
'108801,1998,,
'108902,1998,,
