DISTRICT,CNTYNAME,COUNTY,DFLCHART,DISTNAME,D_RATING,REGION,dackdtl,secs
'019907,BOWIE,'019,N,TEXARKANA ISD,A,'08,,A
'084906,GALVESTON,'084,N,TEXAS CITY ISD,L,'04,,B
'220814,TARRANT,'220,Y,TEXAS ELEMENTARY SCHOOL OF THE ART,R,'11,EW,
'227805,TRAVIS,'227,Y,TEXAS EMPOWERMENT ACADEMY,A,'13,AS,B
'105802,HAYS,'105,Y,TEXAS PREPARATORY SCHOOL,A,'13,A,
'170801,MONTGOMERY,'170,Y,TEXAS SERENITY ACADEMY,1,'06,,
'211901,SHERMAN,'211,N,TEXHOMA ISD,R,'16,AREM,
'056902,DALLAM,'056,N,TEXLINE ISD,A,'16,RJWS,
'101861,HARRIS,'101,Y,THE RHODES SCHOOL,R,'04,W,
'057821,DALLAS,'057,Y,THE SCHOOL OF LIBERAL ARTS AND SCI,A,'10,ADS,
'101814,HARRIS,'101,Y,THE VARNETT PUBLIC SCHOOL,R,'04,AM,
'166905,MILAM,'166,N,THORNDALE ISD,R,'13,UW,D
'246912,WILLIAMSON,'246,N,THRALL ISD,A,'13,ARJW,
'149902,LIVE OAK,'149,N,THREE RIVERS ISD,A,'02,U,
'072901,ERATH,'072,N,THREE WAY ISD,R,'11,AEWM,
'224901,THROCKMORTON,'224,N,THROCKMORTON ISD,R,'09,ARVJWS,
'158902,MATAGORDA,'158,N,TIDEHAVEN ISD,A,'03,UVJ,D
'210905,SHELBY,'210,N,TIMPSON ISD,R,'07,JS,D
'091907,GRAYSON,'091,N,TIOGA ISD,R,'10,EWMS,
'111903,HOOD,'111,N,TOLAR ISD,R,'11,ARUVJEWM,
'091918,GRAYSON,'091,N,TOM BEAN ISD,R,'10,UVJWNS,
'101921,HARRIS,'101,N,TOMBALL ISD,A,'04,PJS,
'071908,EL PASO,'071,N,TORNILLO ISD,A,'19,ARVMS,B
'014802,BELL,'014,Y,TRANSFORMATIVE CHARTER ACADEMY,1,'12,DR,
'220801,TARRANT,'220,Y,TREETOPS SCHOOL INTERNATIONAL,A,'11,RUVJ,D
'221905,TAYLOR,'221,N,TRENT ISD,A,'14,RUV,
'074912,FANNIN,'074,N,TRENTON ISD,R,'10,VJS,D
'107907,HENDERSON,'107,N,TRINIDAD ISD,A,'07,RS,
'057813,DALLAS,'057,Y,TRINITY BASIN PREPARATORY,A,'10,AS,
'046802,COMAL,'046,Y,TRINITY CHARTER SCHOOL,1,'13,AR,
'228903,TRINITY,'228,N,TRINITY ISD,A,'06,,B
'212904,SMITH,'212,N,TROUP ISD,A,'07,RVJW,D
'014910,BELL,'014,N,TROY ISD,A,'12,VJW,D
'219903,SWISHER,'219,N,TULIA ISD,A,'16,,B
'178912,NUECES,'178,N,TULOSO-MIDWAY ISD,R,'02,S,
'096905,HALL,'096,N,TURKEY-QUITAQUE ISD,A,'16,UWS,
'101840,HARRIS,'101,Y,TWO DIMENSIONS PREPARATORY ACADEMY,E,'04,AEMN,
'212905,SMITH,'212,N,TYLER ISD,A,'07,,D
'230908,UPSHUR,'230,N,UNION GROVE ISD,R,'07,UVJE,
'230904,UPSHUR,'230,N,UNION HILL ISD,A,'07,V,D
'240903,WEBB,'240,N,UNITED ISD,A,'01,R,B
'057808,DALLAS,'057,Y,UNIVERSAL ACADEMY,A,'10,ARV,D
'101807,HARRIS,'101,Y,UNIVERSITY OF HOUSTON CHARTER SCHO,E,'04,EWMN,
'227819,TRAVIS,'227,Y,UNIVERSITY OF TEXAS ELEMENTARY CHA,E,'13,AEMN,
'227806,TRAVIS,'227,Y,UNIVERSITY OF TEXAS UNIVERSITY CHA,1,'13,A,
'232904,UVALDE,'232,N,UTOPIA ISD,E,'20,RUVJEWS,
'232903,UVALDE,'232,N,UVALDE CISD,A,'20,,H
'122902,JEFF DAVIS,'122,N,VALENTINE ISD,A,'18,RUJES,
'018904,BOSQUE,'018,N,VALLEY MILLS ISD,R,'12,UVJS,D
'049903,COOKE,'049,N,VALLEY VIEW ISD,R,'11,VJW,
'108916,HIDALGO,'108,N,VALLEY VIEW ISD,R,'01,ARWMS,B
'091908,GRAYSON,'091,N,VAN ALSTYNE ISD,R,'10,AUVJEWMS,D
'234906,VAN ZANDT,'234,N,VAN ISD,R,'07,RUVES,
'158906,MATAGORDA,'158,N,VAN VLECK ISD,R,'03,JW,
'108808,HIDALGO,'108,Y,VANGUARD ACADEMY,R,'01,AEWMS,
'180902,OLDHAM,'180,N,VEGA ISD,R,'16,ADRVJW,
'126908,JOHNSON,'126,N,VENUS ISD,A,'11,U,
'226908,TOM GREEN,'226,N,VERIBEST ISD,A,'15,ARUVJEWS,
'244903,WILBARGER,'244,N,VERNON ISD,A,'09,,D
'235902,VICTORIA,'235,N,VICTORIA ISD,L,'03,,
'181907,ORANGE,'181,N,VIDOR ISD,R,'05,,D
'143904,LAVACA,'143,N,VYSEHRAD ISD,R,'03,AEMNS,I
'161801,MCLENNAN,'161,Y,WACO CHARTER SCHOOL,R,'12,AN,
'161914,MCLENNAN,'161,N,WACO ISD,L,'12,,
'089905,GONZALES,'089,N,WAELDER ISD,A,'13,V,B
'059902,DEAF SMITH,'059,N,WALCOTT ISD,E,'16,AEW,
'226906,TOM GREEN,'226,N,WALL ISD,R,'15,ACUVJWS,B
'237904,WALLER,'237,N,WALLER ISD,A,'04,S,
'049908,COOKE,'049,N,WALNUT BEND ISD,R,'11,EMS,B
'018905,BOSQUE,'018,N,WALNUT SPRINGS ISD,A,'12,RUV,
'229904,TYLER,'229,N,WARREN ISD,R,'05,UVJ,B
'102903,HARRISON,'102,N,WASKOM ISD,A,'07,U,D
'226905,TOM GREEN,'226,N,WATER VALLEY ISD,E,'15,UVEWMNS,D
'070801,ELLIS,'070,Y,WAXAHACHIE FAITH FAMILY ACADEMY,A,'10,R,
'070912,ELLIS,'070,N,WAXAHACHIE ISD,A,'10,V,
'184903,PARKER,'184,N,WEATHERFORD ISD,R,'11,WS,
'240904,WEBB,'240,N,WEBB CISD,R,'01,RUVJEWMS,
'045905,COLORADO,'045,N,WEIMAR ISD,A,'03,ARUVJ,A
'044902,COLLINGSWORTH,'044,N,WELLINGTON ISD,R,'16,ARJW,
'223904,TERRY,'223,N,WELLMAN-UNION CISD,E,'17,AUVJWNS,D
'037909,CHEROKEE,'037,N,WELLS ISD,A,'07,VWS,
'108913,HIDALGO,'108,N,WESLACO ISD,R,'01,AWMS,B
'100908,HARDIN,'100,N,WEST HARDIN COUNTY CISD,A,'05,VS,D
'101803,HARRIS,'101,Y,WEST HOUSTON CHARTER SCHOOL,R,'04,EWN,
'161916,MCLENNAN,'161,N,WEST ISD,R,'12,RVJWS,
'181906,ORANGE,'181,N,WEST ORANGE-COVE CISD,L,'05,,H
'178915,NUECES,'178,N,WEST OSO ISD,A,'02,,
'201914,RUSK,'201,N,WEST RUSK ISD,A,'07,U,
'202905,SABINE,'202,N,WEST SABINE ISD,A,'07,S,D
'168903,MITCHELL,'168,N,WESTBROOK ISD,R,'14,UVJES,
'062905,DEWITT,'062,N,WESTHOFF ISD,E,'03,AEM,
'220810,TARRANT,'220,Y,WESTLAKE ACADEMY CHARTER SCHOOL,E,'11,AUVEWMNS,
'073904,FALLS,'073,N,WESTPHALIA ISD,E,'12,AEWMNS,
'001908,ANDERSON,'001,N,WESTWOOD ISD,R,'07,UVJS,
'241904,WHARTON,'241,N,WHARTON ISD,A,'03,,B
'242903,WHEELER,'242,N,WHEELER ISD,A,'16,AUJ,
'033904,CARSON,'033,N,WHITE DEER ISD,R,'16,UES,
'092908,GREGG,'092,N,WHITE OAK ISD,R,'07,UVJEWS,D
'220920,TARRANT,'220,N,WHITE SETTLEMENT ISD,A,'11,,
'040902,COCHRAN,'040,N,WHITEFACE CISD,R,'17,AUVWS,
'212906,SMITH,'212,N,WHITEHOUSE ISD,A,'07,UJ,
'091909,GRAYSON,'091,N,WHITESBORO ISD,R,'10,VJW,
'091910,GRAYSON,'091,N,WHITEWRIGHT ISD,E,'10,UVJEWM,D
'110908,HOCKLEY,'110,N,WHITHARRAL ISD,R,'17,ARUVJEWS,
'109911,HILL,'109,N,WHITNEY ISD,A,'12,DRUVS,
'243905,WICHITA,'243,N,WICHITA FALLS ISD,A,'09,,
'180904,OLDHAM,'180,N,WILDORADO ISD,E,'16,AEMN,
'057842,DALLAS,'057,Y,WILLIAMS PREPARATORY,R,'10,EWMS,
'170904,MONTGOMERY,'170,N,WILLIS ISD,A,'06,,
'234907,VAN ZANDT,'234,N,WILLS POINT ISD,A,'10,,D
'153907,LYNN,'153,N,WILSON ISD,R,'17,RJ,
'105905,HAYS,'105,N,WIMBERLEY ISD,R,'13,PCRUVJEWMS,
'005904,ARCHER,'005,N,WINDTHORST ISD,R,'09,ACRUVJWS,
'225905,TITUS,'225,N,WINFIELD ISD,R,'08,AS,
'057828,DALLAS,'057,Y,WINFREE ACADEMY CHARTER SCHOOLS,1,'10,,A
'248902,WINKLER,'248,N,WINK-LOVING ISD,R,'18,RVJWS,D
'250907,WOOD,'250,N,WINNSBORO ISD,R,'07,UVJMS,
'212910,SMITH,'212,N,WINONA ISD,R,'07,V,D
'200904,RUNNELS,'200,N,WINTERS ISD,A,'15,UJ,
'174906,NACOGDOCHES,'174,N,WODEN ISD,R,'07,AUJWNS,D
'116909,HUNT,'116,N,WOLFE CITY ISD,E,'10,AJEWM,
'196902,REFUGIO,'196,N,WOODSBORO ISD,R,'03,JW,D
'224902,THROCKMORTON,'224,N,WOODSON ISD,R,'09,AUVJES,
'229903,TYLER,'229,N,WOODVILLE ISD,A,'05,J,
'081905,FREESTONE,'081,N,WORTHAM ISD,A,'12,AVJWS,
'043914,COLLIN,'043,N,WYLIE ISD,R,'10,AUS,
'221912,TAYLOR,'221,N,WYLIE ISD,E,'14,CRUVJEWMNS,
'250905,WOOD,'250,N,YANTIS ISD,R,'07,AVJS,
'101845,HARRIS,'101,Y,YES PREPARATORY PUBLIC SCHOOLS,E,'04,ADRUVJEWMS,
'062903,DEWITT,'062,N,YOAKUM ISD,A,'03,JS,
'062904,DEWITT,'062,N,YORKTOWN ISD,A,'03,ARVJ,
'071905,EL PASO,'071,N,YSLETA ISD,A,'19,R,
'253901,ZAPATA,'253,N,ZAPATA COUNTY ISD,A,'01,,D
'003906,ANGELINA,'003,N,ZAVALLA ISD,A,'07,US,
'025906,BROWN,'025,N,ZEPHYR ISD,R,'15,UJEWS,
'101850,HARRIS,'101,Y,ZOE LEARNING ACADEMY,R,'04,,F
